OrderID,Customer_Age,Membership_Years,Items_In_Cart,Discount_Pct,Delivery_Distance_KM,Product_Category,Payment_Method,Is_Premium_Member,Season,Day_Of_Week,Transaction_Amount
ORD304373,48.0,7.6,2,10.4,15.7,Sports,credit card,no,Monsoon,Sun,67.67
ORD301524,18.0,8.7,11,38.1,6.9,Clothing,upi,no,Monsoon,Sun,89.23
ORD304813,50.0,8.8,1,29.5,34.2,Electronics,debit card,yes,Spring,Sun,212.17
ORD302559,62.0,2.9,7,5.2,11.4,Electronics,upi,yes,Winter,Fri,403.57
ORD300602,42.0,1.9,7,25.8,4.8,Beauty,upi,no,Spring,Tue,46.42
ORD301227,44.0,7.3,2,22.6,15.0,Books,wallet,no,Winter,Sat,12.37
ORD304873,66.0,0.6,4,28.9,3.1,Electronics,credit card,no,Winter,Sun,214.58
ORD300446,43.0,9.0,7,1.5,3.1,Electronics,credit card,no,Summer,Sat,439.46
ORD302978,54.0,10.6,11,16.4,1.1,Home & Kitchen,credit card,no,Winter,Fri,170.52
ORD302299,68.0,9.0,13,8.4,1.4,Clothing,credit card,no,Winter,Sat,114.96
ORD301648,27.0,10.7,8,2.8,1.6,Books,credit card,no,Winter,Tue,47.19
ORD302345,23.0,4.2,7,35.1,8.3,Beauty,credit card,no,Winter,Wed,5.0
ORD304466,43.0,8.8,2,2.5,1.4,Books,upi,no,Summer,Fri,22.98
ORD304794,38.0,0.5,13,0.3,1.1,Electronics,wallet,no,Monsoon,Mon,559.74
ORD304115,42.0,7.5,13,19.0,7.8,Electronics,credit card,yes,Winter,Fri,484.84
ORD304698,58.0,5.2,1,1.9,1.9,Electronics,upi,yes,Spring,Mon,283.86
ORD300172,39.0,1.8,2,16.8,7.7,Clothing,upi,no,Monsoon,Sun,56.46
ORD301807,56.0,4.0,6,3.8,6.2,Sports,credit card,yes,Summer,Tue,98.48
ORD301953,33.0,10.5,7,30.6,3.5,Toys,debit card,yes,Summer,Mon,104.24
ORD303414,59.0,10.1,1,3.7,4.2,Home & Kitchen,upi,yes,Spring,Thu,123.43
ORD301012,45.0,5.8,2,24.5,9.7,Home & Kitchen,wallet,no,Spring,Fri,130.61
ORD302132,63.0,11.4,9,15.9,13.9,Books,credit card,no,Summer,Wed,50.74
ORD302682,18.0,10.4,1,8.4,16.8,Clothing,credit card,no,Spring,Fri,74.16
ORD301893,56.0,12.0,12,11.4,8.0,Clothing,upi,no,Spring,Fri,116.71
ORD300195,39.0,0.5,9,9.2,0.0,Electronics,credit card,yes,Winter,Wed,411.61
ORD301592,25.0,10.5,7,37.0,10.055118434603502,Books,credit card,no,Winter,Tue,37.06
ORD301632,39.0,1.1,6,34.0,10.0,Home & Kitchen,wallet,yes,Winter,Sun,78.7
ORD302838,39.0,9.9,9,26.2,11.1,Books,wallet,yes,Winter,Wed,87.64
ORD300325,24.0,10.6,11,20.299269776876265,0.6,Home & Kitchen,upi,no,Monsoon,Fri,178.53
ORD301876,21.0,2.8,7,35.3,4.6,Home & Kitchen,upi,yes,Summer,Sun,130.4
ORD304184,19.0,5.1,1,17.1,6.7,Books,debit card,no,Winter,Sun,60.0
ORD302103,58.0,3.5,6,16.9,10.4,Clothing,wallet,no,Monsoon,Sun,75.56
ORD304586,45.0,4.6,3,19.6,1.8,Clothing,credit card,no,Winter,Fri,86.73
ORD304605,42.0,3.3,4,11.2,10.4,Electronics,credit card,yes,Winter,Thu,298.68
ORD300664,43.0,10.8,1,21.1,8.4,Home & Kitchen,upi,no,Winter,Fri,93.71
ORD300766,41.0,7.9,12,3.5,0.1,Clothing,debit card,yes,Spring,Tue,153.69
ORD303620,37.0,6.1,9,8.8,16.3,Sports,credit card,yes,Summer,Thu,112.96
ORD302323,45.0,8.9,12,4.7,0.4,Beauty,credit card,no,Monsoon,Wed,125.29
ORD303826,36.0,10.5,13,24.9,2.5,Clothing,upi,yes,Winter,Sat,97.73
ORD300594,47.0,6.2,10,38.4,34.4,Toys,wallet,yes,Winter,Wed,37.82
ORD302544,22.0,6.0,12,9.1,1.6,Electronics,debit card,yes,Summer,Mon,527.61
ORD303309,42.0,2.1,8,8.6,21.2,Clothing,wallet,no,Winter,Tue,89.77
ORD300213,54.0,5.8,14,23.4,16.2,Clothing,debit card,yes,Spring,Thu,104.71
ORD303752,31.0,11.0,1,29.4,2.1,Clothing,upi,no,Winter,Mon,74.32
ORD302343,48.0,7.4,1,20.5,0.7,Electronics,credit card,yes,Spring,Fri,252.42
ORD303853,48.0,1.6,12,15.2,0.0,Sports,debit card,no,Monsoon,Wed,116.31
ORD303121,19.0,0.0,9,15.6,20.8,Toys,credit card,yes,Monsoon,Sun,43.93
ORD304267,18.0,5.4,8,4.1,10.055118434603502,Toys,credit card,yes,Winter,Mon,99.37
ORD300194,34.0,0.4,6,28.1,22.1,Books,upi,yes,Summer,Thu,5.0
ORD303224,60.0,9.0,5,19.3,7.4,Clothing,credit card,yes,Winter,Thu,103.43
ORD303447,28.0,6.2,8,15.7,12.8,Clothing,upi,yes,Winter,Sat,101.59
ORD301715,61.0,11.5,14,15.1,1.1,Beauty,debit card,no,Winter,Wed,78.06
ORD302248,67.0,7.0,7,29.9,47.6,Home & Kitchen,debit card,no,Summer,Fri,98.65
ORD304559,20.0,2.6,9,16.2,10.055118434603502,Electronics,credit card,no,Summer,Sun,404.69
ORD301868,22.0,0.5,9,0.4,3.9,Clothing,credit card,no,Winter,Tue,80.78
ORD303918,19.0,10.9,7,4.6,16.6,Sports,credit card,yes,Monsoon,Thu,136.53
ORD302644,42.0,3.4,6,35.2,13.8,Electronics,upi,no,Monsoon,Sun,223.48
ORD302685,60.0,0.7,13,35.4,5.6,Sports,debit card,no,Summer,Mon,80.24
ORD303001,46.0,1.0,2,20.299269776876265,3.1,Electronics,debit card,no,Winter,Fri,189.72
ORD300917,69.0,7.3,14,37.6,5.6,Home & Kitchen,credit card,no,Spring,Mon,163.87
ORD304075,27.0,0.8,9,24.0,1.3,Toys,credit card,no,Winter,Mon,48.16
ORD301195,51.0,3.8,8,19.4,9.4,Electronics,credit card,yes,Monsoon,Sun,391.99
ORD303639,29.0,9.5,6,4.6,10.5,Books,credit card,no,Spring,Thu,18.04
ORD304224,65.0,3.4,11,1.7,0.8,Electronics,wallet,no,Winter,Wed,509.1
ORD303679,61.0,11.9,6,11.0,14.7,Home & Kitchen,debit card,no,Spring,Thu,128.72
ORD302318,29.0,0.3,4,18.1,0.9,Home & Kitchen,debit card,no,Spring,Sun,74.15
ORD303604,28.0,0.0,7,20.299269776876265,22.0,Home & Kitchen,wallet,no,Winter,Thu,129.06
ORD300981,26.0,7.6,4,31.4,10.1,Books,wallet,no,Summer,Sat,46.34
ORD300453,69.0,6.0,9,5.2,9.2,Toys,wallet,no,Summer,Sat,69.23
ORD304062,26.0,9.4,10,5.0,15.4,Electronics,wallet,yes,Summer,Wed,469.74
ORD304354,59.0,1.4,8,19.9,4.8,Toys,credit card,no,Summer,Mon,43.09
ORD303130,20.0,4.2,12,9.2,5.1,Home & Kitchen,credit card,no,Winter,Sat,186.33
ORD301930,63.0,3.0,9,11.1,1.9,Electronics,upi,no,Spring,Thu,5349.12
ORD303112,30.0,8.6,13,21.4,15.1,Electronics,upi,yes,Winter,Thu,464.06
ORD301662,61.0,5.933483606557377,4,34.5,8.9,Electronics,credit card,no,Spring,Sat,204.47
ORD301640,68.0,10.2,10,19.7,10.055118434603502,Beauty,debit card,no,Summer,Mon,81.62
ORD302358,29.0,7.0,14,12.2,5.1,Sports,debit card,yes,Spring,Sat,182.74
ORD303047,38.0,1.4,6,3.8,3.6,Electronics,debit card,no,Summer,Wed,381.28
ORD304209,53.0,11.9,1,9.8,9.4,Beauty,upi,no,Monsoon,Tue,60.43
ORD301447,55.0,4.4,9,23.3,14.3,Electronics,upi,no,Summer,Tue,344.45
ORD303439,64.0,7.4,10,20.299269776876265,15.6,Toys,wallet,no,Summer,Tue,59.39
ORD301442,46.0,7.9,3,32.4,3.0,Electronics,upi,no,Monsoon,Thu,215.12
ORD304812,40.0,1.9,3,26.2,25.7,Clothing,debit card,no,Spring,Thu,62.47
ORD304323,39.0,0.2,7,29.4,12.4,Electronics,upi,yes,Summer,Sat,309.13
ORD301678,41.0,10.6,14,18.6,2.5,Sports,upi,yes,Winter,Wed,203.09
ORD304004,50.0,1.5,12,14.6,10.0,Home & Kitchen,debit card,yes,Summer,Wed,150.78
ORD300596,31.0,7.9,2,11.9,3.8,Clothing,wallet,no,Summer,Thu,97.57
ORD304399,39.0,8.6,5,17.3,47.7,Sports,debit card,no,Spring,Sun,84.48
ORD301355,68.0,5.933483606557377,2,6.4,7.4,Electronics,credit card,no,Spring,Sat,209.62
ORD300718,27.0,10.9,11,23.3,42.3,Books,wallet,no,Monsoon,Thu,39.99
ORD300161,49.0,7.4,2,34.3,10.8,Clothing,credit card,yes,Spring,Sun,105.58
ORD304236,65.0,4.4,13,37.8,5.9,Home & Kitchen,credit card,no,Monsoon,Mon,131.65
ORD301229,29.0,11.3,4,32.2,0.3,Home & Kitchen,debit card,no,Winter,Thu,115.81
ORD301257,21.0,0.3,3,4.4,8.2,Electronics,wallet,no,Summer,Sun,281.49
ORD302807,21.0,10.8,7,15.1,12.2,Home & Kitchen,credit card,no,Monsoon,Sun,165.01
ORD303564,50.0,2.8,11,24.2,3.4,Sports,upi,no,Spring,Thu,83.64
ORD304547,31.0,7.2,6,38.2,4.4,Toys,credit card,no,Monsoon,Mon,52.21
ORD301859,37.0,8.6,10,20.299269776876265,12.3,Sports,credit card,no,Summer,Wed,156.17
ORD301985,33.0,10.1,3,29.2,10.055118434603502,Sports,credit card,no,Monsoon,Fri,75.36
ORD300786,48.0,8.7,6,20.299269776876265,0.9,Sports,upi,no,Summer,Fri,62.22
ORD302019,42.0,3.8,3,2.5,21.8,Toys,wallet,no,Winter,Mon,44.59
ORD304604,53.0,5.933483606557377,10,24.9,10.9,Home & Kitchen,credit card,yes,Spring,Tue,163.55
ORD304013,38.0,11.2,1,1.7,4.8,Toys,debit card,yes,Winter,Sat,79.9
ORD302055,43.26208443809912,5.933483606557377,14,2.5,21.9,Electronics,debit card,no,Summer,Tue,610.81
ORD304526,29.0,7.7,1,12.8,1.4,Home & Kitchen,credit card,yes,Summer,Sat,121.23
ORD300860,58.0,4.7,10,35.4,3.5,Home & Kitchen,upi,no,Summer,Fri,128.48
ORD304151,56.0,11.6,2,28.2,2.5,Clothing,debit card,yes,Monsoon,Mon,64.88
ORD302811,30.0,0.2,7,38.8,2.4,Clothing,debit card,no,Summer,Tue,62.05
ORD301561,55.0,5.5,3,8.3,10.055118434603502,Electronics,upi,no,Winter,Sun,308.65
ORD304961,42.0,11.0,1,34.4,3.4,Clothing,debit card,yes,Spring,Tue,56.45
ORD300145,20.0,4.8,14,5.5,41.2,Toys,credit card,no,Winter,Fri,75.51
ORD300561,28.0,1.3,2,35.4,1.5,Electronics,credit card,no,Monsoon,Fri,192.0
ORD301547,56.0,0.3,11,9.3,20.0,Books,wallet,yes,Summer,Sun,44.0
ORD302623,41.0,0.1,5,23.7,2.5,Home & Kitchen,debit card,no,Spring,Tue,83.99
ORD303396,67.0,5.2,5,9.9,12.7,Beauty,wallet,no,Summer,Sat,81.07
ORD301170,50.0,4.6,5,2.6,7.4,Books,credit card,no,Spring,Fri,50.14
ORD301143,66.0,2.6,11,0.5,29.3,Electronics,upi,no,Winter,Sat,505.06
ORD304992,29.0,5.8,13,10.7,0.5,Home & Kitchen,upi,no,Winter,Fri,224.49
ORD301124,47.0,11.0,4,2.7,4.1,Clothing,credit card,yes,Spring,Tue,117.49
ORD303468,27.0,4.5,12,30.1,10.3,Electronics,credit card,no,Winter,Fri,387.99
ORD303610,31.0,6.9,1,40.0,7.2,Beauty,debit card,yes,Winter,Sun,32.66
ORD303712,56.0,2.3,4,10.4,0.4,Books,wallet,no,Monsoon,Tue,11.66
ORD302000,68.0,10.4,13,35.5,6.4,Books,upi,no,Summer,Thu,28.61
ORD301128,33.0,9.5,3,27.3,2.9,Books,credit card,no,Winter,Fri,43.08
ORD301398,31.0,4.9,9,15.8,8.4,Home & Kitchen,credit card,yes,Monsoon,Mon,158.1
ORD300695,19.0,2.6,11,18.6,0.7,Books,wallet,no,Monsoon,Tue,55.48
ORD301916,33.0,11.8,14,16.4,11.6,Electronics,credit card,yes,Winter,Sat,511.32
ORD302835,34.0,1.5,5,11.5,3.6,Electronics,credit card,no,Monsoon,Sun,301.83
ORD303630,69.0,0.3,3,20.2,12.9,Home & Kitchen,debit card,no,Spring,Sun,55.2
ORD301767,35.0,10.9,5,30.2,10.055118434603502,Sports,credit card,no,Spring,Tue,80.63
ORD300004,58.0,7.4,8,31.8,3.7,Clothing,upi,no,Monsoon,Thu,89.42
ORD304312,56.0,1.1,3,1.2,13.1,Clothing,credit card,yes,Monsoon,Thu,69.66
ORD301209,41.0,7.6,5,18.8,1.6,Home & Kitchen,credit card,yes,Winter,Sun,138.89
ORD302352,50.0,7.8,8,0.9,4.2,Electronics,upi,yes,Summer,Tue,456.56
ORD302470,63.0,1.2,1,32.7,1.0,Home & Kitchen,wallet,no,Winter,Wed,89.27
ORD303612,40.0,6.2,5,10.2,0.4,Clothing,credit card,no,Summer,Sun,102.03
ORD300275,56.0,6.9,6,4.8,28.4,Sports,debit card,yes,Monsoon,Tue,123.1
ORD304542,69.0,0.1,6,9.3,0.4,Clothing,upi,yes,Spring,Thu,87.89
ORD301422,24.0,0.2,5,32.8,1.7,Books,credit card,no,Spring,Sun,5.0
ORD304597,53.0,7.6,12,20.9,0.9,Beauty,debit card,no,Summer,Fri,66.71
ORD301544,38.0,4.1,13,13.3,4.8,Electronics,wallet,no,Monsoon,Mon,501.17
ORD303821,67.0,2.0,4,34.2,10.055118434603502,Clothing,credit card,no,Winter,Fri,25.12
ORD300083,47.0,1.6,8,5.0,42.7,Electronics,credit card,no,Summer,Thu,384.48
ORD302420,21.0,8.0,5,14.5,18.0,Sports,upi,no,Monsoon,Mon,105.78
ORD301263,49.0,7.6,11,32.0,1.8,Beauty,credit card,yes,Winter,Sat,121.77
ORD303805,41.0,6.5,9,26.0,0.6,Clothing,upi,no,Monsoon,Thu,79.83
ORD301499,56.0,4.7,1,1.4,10.055118434603502,Beauty,debit card,yes,Summer,Fri,17.09
ORD301955,56.0,9.8,11,13.2,2.6,Electronics,credit card,yes,Summer,Sun,458.52
ORD304137,63.0,7.0,4,8.0,1.5,Clothing,upi,no,Monsoon,Sun,77.84
ORD300631,25.0,10.1,4,22.5,37.1,Beauty,upi,yes,Winter,Mon,86.61
ORD301320,45.0,11.5,8,31.7,9.8,Beauty,credit card,no,Winter,Sat,88.61
ORD300328,42.0,9.2,11,20.9,19.6,Clothing,upi,no,Summer,Wed,106.63
ORD301801,64.0,5.7,3,30.7,4.4,Electronics,upi,no,Winter,Wed,254.6
ORD300905,58.0,8.4,14,35.3,33.3,Clothing,debit card,yes,Winter,Fri,107.56
ORD301057,44.0,7.6,5,36.7,9.6,Clothing,credit card,no,Spring,Sun,56.0
ORD302755,50.0,11.6,3,15.5,6.6,Sports,credit card,no,Winter,Fri,1299.12
ORD303416,65.0,10.2,9,9.2,6.0,Clothing,debit card,no,Monsoon,Sat,146.92
ORD301381,19.0,5.4,14,10.5,0.1,Clothing,upi,yes,Spring,Wed,127.42
ORD303025,29.0,9.5,14,4.6,20.7,Beauty,upi,no,Summer,Sat,133.33
ORD304979,31.0,11.5,13,14.4,29.7,Sports,credit card,yes,Summer,Thu,131.05
ORD301344,34.0,11.2,3,25.2,34.0,Clothing,debit card,yes,Summer,Sun,88.96
ORD304469,26.0,1.7,12,27.1,40.4,Clothing,upi,no,Monsoon,Tue,58.81
ORD302937,55.0,2.6,13,30.2,0.6,Sports,debit card,no,Spring,Mon,134.92
ORD300651,48.0,1.6,7,22.7,4.1,Sports,upi,yes,Winter,Mon,106.68
ORD302388,64.0,2.3,10,16.7,2.3,Sports,wallet,no,Summer,Fri,74.74
ORD300739,39.0,10.7,12,34.8,27.0,Clothing,upi,no,Winter,Mon,72.91
ORD300588,39.0,5.9,6,10.1,16.6,Sports,credit card,yes,Spring,Thu,128.15
ORD304594,33.0,1.4,12,18.5,17.7,Books,wallet,yes,Monsoon,Fri,25.01
ORD304485,23.0,9.6,13,27.4,25.5,Beauty,wallet,no,Spring,Fri,95.67
ORD304640,66.0,6.8,4,20.299269776876265,0.9,Electronics,upi,yes,Summer,Wed,343.95
ORD302478,57.0,4.1,12,35.5,2.5,Electronics,credit card,yes,Winter,Mon,371.43
ORD302585,56.0,10.5,11,27.4,18.9,Toys,debit card,yes,Monsoon,Tue,86.36
ORD302610,44.0,10.5,2,35.1,2.7,Sports,credit card,yes,Summer,Tue,96.09
ORD301814,54.0,8.4,3,7.9,5.5,Toys,upi,yes,Winter,Mon,69.87
ORD300433,34.0,10.5,9,36.4,0.8,Clothing,debit card,no,Monsoon,Tue,92.81
ORD302810,33.0,11.7,8,30.4,7.2,Sports,upi,no,Summer,Sun,84.61
ORD301208,54.0,2.2,8,33.4,14.0,Books,wallet,no,Summer,Mon,20.8
ORD300831,57.0,3.0,10,16.2,12.3,Home & Kitchen,debit card,no,Summer,Sat,134.89
ORD303070,67.0,6.2,4,21.1,13.2,Electronics,credit card,no,Summer,Fri,255.9
ORD303782,51.0,7.7,6,38.8,31.3,Electronics,wallet,no,Monsoon,Mon,221.9
ORD302659,23.0,6.8,12,32.4,7.7,Beauty,upi,yes,Summer,Thu,119.67
ORD303936,36.0,4.3,10,9.1,9.1,Clothing,credit card,no,Summer,Tue,89.04
ORD304912,34.0,6.6,14,13.3,5.2,Toys,debit card,no,Summer,Thu,81.43
ORD304561,68.0,11.1,3,3.0,1.7,Clothing,credit card,no,Monsoon,Wed,99.86
ORD301420,34.0,10.9,4,34.7,0.8,Toys,debit card,no,Spring,Wed,41.18
ORD304394,27.0,4.2,8,30.6,0.7,Clothing,upi,no,Spring,Fri,78.32
ORD304442,38.0,1.8,9,23.1,6.4,Clothing,credit card,yes,Spring,Sat,92.12
ORD302700,61.0,1.4,14,38.0,3.9,Books,wallet,no,Winter,Thu,20.02
ORD303982,54.0,0.1,12,15.9,6.4,Sports,credit card,no,Monsoon,Thu,108.05
ORD304858,67.0,0.3,14,36.3,10.055118434603502,Home & Kitchen,wallet,yes,Winter,Fri,144.26
ORD301060,60.0,2.0,13,4.2,3.6,Electronics,debit card,no,Summer,Tue,531.34
ORD304862,46.0,1.4,5,34.1,2.0,Electronics,debit card,yes,Winter,Thu,239.84
ORD302731,41.0,5.5,1,14.1,18.7,Books,upi,yes,Monsoon,Wed,25.25
ORD301527,63.0,10.2,10,7.4,9.7,Home & Kitchen,debit card,no,Winter,Fri,150.25
ORD300892,43.26208443809912,0.4,13,36.6,3.2,Clothing,credit card,no,Monsoon,Thu,56.28
ORD300735,59.0,4.0,10,11.2,3.5,Books,wallet,yes,Monsoon,Fri,83.64
ORD304263,65.0,4.9,12,4.6,7.0,Home & Kitchen,credit card,no,Winter,Mon,183.12
ORD304117,26.0,6.9,12,12.5,25.5,Clothing,wallet,no,Summer,Wed,107.03
ORD302956,65.0,5.1,11,33.7,5.3,Clothing,debit card,no,Monsoon,Tue,82.09
ORD304360,61.0,10.1,10,36.5,5.4,Home & Kitchen,debit card,no,Winter,Sun,141.17
ORD300358,56.0,5.933483606557377,2,6.1,15.8,Home & Kitchen,upi,yes,Spring,Mon,88.45
ORD302691,52.0,3.0,11,30.3,1.5,Sports,upi,no,Monsoon,Thu,84.21
ORD301163,24.0,5.3,2,9.0,12.9,Clothing,debit card,no,Summer,Mon,60.45
ORD301046,38.0,2.5,9,38.3,0.7,Toys,credit card,no,Winter,Sat,29.24
ORD302930,46.0,10.6,10,16.3,1.0,Clothing,credit card,no,Winter,Sat,81.35
ORD300419,26.0,8.8,14,14.4,32.0,Electronics,wallet,no,Summer,Thu,523.32
ORD301434,19.0,11.4,5,11.0,5.3,Clothing,credit card,no,Summer,Sun,110.23
ORD304887,28.0,7.5,9,20.4,6.8,Sports,debit card,yes,Spring,Sun,136.28
ORD302467,66.0,6.5,2,12.8,9.5,Home & Kitchen,debit card,yes,Monsoon,Thu,136.81
ORD301141,50.0,2.1,10,27.2,2.3,Clothing,upi,no,Spring,Sun,78.82
ORD301402,53.0,9.4,9,3.8,12.0,Electronics,debit card,yes,Spring,Tue,465.55
ORD300741,43.0,6.2,6,39.6,3.5,Home & Kitchen,upi,yes,Monsoon,Mon,140.12
ORD304049,36.0,3.5,14,21.2,2.0,Sports,credit card,no,Monsoon,Fri,115.15
ORD300500,54.0,2.3,3,0.5,35.6,Clothing,debit card,yes,Spring,Wed,70.82
ORD301268,62.0,9.4,13,24.8,9.5,Beauty,debit card,yes,Spring,Sun,1316.52
ORD304198,45.0,3.5,8,16.8,9.1,Electronics,upi,no,Spring,Wed,356.49
ORD302950,61.0,7.5,5,35.2,9.5,Clothing,debit card,no,Winter,Fri,73.71
ORD304359,52.0,6.3,14,16.4,10.4,Home & Kitchen,credit card,no,Monsoon,Wed,192.05
ORD304335,62.0,2.7,14,29.1,0.9,Clothing,upi,no,Summer,Thu,90.56
ORD301003,24.0,7.5,10,22.0,2.6,Toys,debit card,yes,Monsoon,Fri,91.17
ORD304894,32.0,5.0,10,9.7,6.3,Electronics,debit card,no,Spring,Sat,441.74
ORD304447,33.0,11.7,7,10.8,10.0,Toys,debit card,no,Monsoon,Thu,87.05
ORD302801,41.0,7.1,6,21.5,24.5,Toys,wallet,no,Summer,Tue,67.14
ORD303586,64.0,11.5,7,28.6,5.8,Beauty,upi,yes,Spring,Thu,88.94
ORD304713,23.0,2.2,6,32.3,6.0,Home & Kitchen,wallet,no,Summer,Sun,114.32
ORD304512,54.0,3.5,6,15.9,0.3,Home & Kitchen,credit card,yes,Monsoon,Thu,1664.4
ORD302226,25.0,3.0,11,26.7,1.0,Books,upi,yes,Winter,Mon,70.24
ORD302027,59.0,1.2,1,38.2,1.1,Electronics,upi,no,Winter,Sun,148.83
ORD303860,59.0,6.2,10,16.6,15.8,Beauty,upi,no,Summer,Fri,70.59
ORD303529,60.0,4.1,10,22.4,19.1,Toys,debit card,yes,Monsoon,Tue,102.81
ORD301493,33.0,1.3,10,24.6,13.4,Clothing,upi,yes,Monsoon,Sun,88.15
ORD300138,62.0,1.7,14,4.1,19.0,Clothing,upi,yes,Spring,Wed,146.73
ORD302014,34.0,5.8,10,35.4,4.9,Toys,wallet,no,Summer,Thu,84.05
ORD303517,31.0,9.8,8,4.2,20.5,Electronics,credit card,no,Spring,Sat,435.65
ORD303690,28.0,8.3,1,30.4,5.7,Clothing,credit card,no,Summer,Thu,38.21
ORD300798,30.0,6.2,12,10.6,11.9,Beauty,credit card,yes,Spring,Sat,82.17
ORD302661,40.0,7.7,14,11.3,43.2,Home & Kitchen,credit card,no,Winter,Mon,191.87
ORD301625,64.0,0.2,2,0.8,36.4,Electronics,wallet,no,Monsoon,Mon,280.71
ORD300868,21.0,1.4,4,15.4,7.3,Toys,credit card,yes,Monsoon,Tue,50.82
ORD302284,53.0,6.0,14,17.1,0.1,Home & Kitchen,debit card,no,Summer,Mon,192.03
ORD303375,20.0,9.4,14,6.9,3.9,Electronics,wallet,no,Winter,Wed,573.97
ORD304643,39.0,9.3,10,23.4,4.9,Books,credit card,no,Spring,Mon,61.36
ORD300638,49.0,8.1,2,34.9,3.8,Electronics,upi,yes,Winter,Wed,206.07
ORD303511,68.0,0.6,12,3.4,4.9,Beauty,wallet,yes,Monsoon,Mon,108.54
ORD304709,28.0,10.1,11,30.5,17.3,Clothing,debit card,no,Winter,Sat,63.11
ORD301440,29.0,6.3,3,21.4,5.5,Electronics,wallet,no,Winter,Tue,245.51
ORD303746,22.0,0.2,6,7.6,3.8,Electronics,debit card,no,Summer,Sun,355.75
ORD301729,30.0,9.3,9,39.8,9.0,Books,upi,no,Spring,Sat,14.42
ORD304055,18.0,5.5,14,35.9,2.5,Sports,upi,yes,Summer,Tue,146.65
ORD303339,33.0,5.0,4,4.1,2.6,Sports,wallet,no,Spring,Wed,68.15
ORD300757,52.0,5.933483606557377,5,27.6,0.5,Home & Kitchen,credit card,yes,Spring,Sat,116.97
ORD300622,27.0,5.4,8,7.5,15.3,Home & Kitchen,credit card,yes,Summer,Sat,161.49
ORD303484,56.0,10.9,11,24.7,2.9,Electronics,upi,yes,Spring,Fri,407.74
ORD300207,34.0,11.1,5,33.7,1.3,Electronics,credit card,no,Spring,Thu,250.64
ORD300876,43.26208443809912,5.5,11,26.2,1.9,Books,credit card,yes,Spring,Wed,68.36
ORD301086,58.0,3.2,13,20.8,3.2,Clothing,upi,no,Spring,Sat,83.16
ORD300562,43.0,2.1,3,20.4,14.6,Clothing,credit card,no,Monsoon,Tue,26.7
ORD303003,37.0,10.5,14,8.8,13.7,Beauty,credit card,yes,Winter,Tue,145.77
ORD303641,43.26208443809912,8.5,9,38.0,61.9,Electronics,upi,yes,Monsoon,Sun,308.74
ORD301514,22.0,7.1,3,8.2,10.055118434603502,Books,credit card,yes,Winter,Sun,57.58
ORD301095,65.0,11.7,13,27.8,13.3,Home & Kitchen,wallet,no,Spring,Fri,173.55
ORD304950,39.0,7.6,12,32.5,5.4,Home & Kitchen,credit card,yes,Summer,Wed,119.8
ORD302163,20.0,10.2,5,8.2,13.8,Sports,wallet,no,Winter,Tue,87.28
ORD301382,30.0,7.1,4,22.2,4.3,Books,debit card,no,Monsoon,Fri,54.7
ORD301971,32.0,4.9,8,22.7,3.1,Clothing,credit card,no,Summer,Mon,96.81
ORD300800,60.0,7.3,1,21.4,6.0,Sports,debit card,yes,Winter,Tue,105.09
ORD301175,23.0,8.7,8,22.6,21.1,Home & Kitchen,debit card,no,Winter,Tue,121.05
